,start_time,end_time,start_frame,end_frame
380,00:27:20.200,00:27:21.400,49206,49242
381,00:27:21.400,00:27:22.300,49242,49269
382,00:27:22.300,00:27:23.000,49269,49290
383,00:27:23.000,00:27:23.567,49290,49307
384,00:27:23.567,00:27:24.700,49307,49341
385,00:27:24.700,00:27:25.867,49341,49376
386,00:27:25.867,00:27:26.767,49376,49403
387,00:27:26.767,00:27:27.333,49403,49420
388,00:27:27.333,00:27:28.200,49420,49446
389,00:27:28.200,00:27:28.800,49446,49464
390,00:27:28.800,00:27:29.300,49464,49479
391,00:27:29.300,00:27:30.300,49479,49509
392,00:27:30.300,00:27:31.267,49509,49538
393,00:27:31.267,00:27:32.033,49538,49561
394,00:27:32.033,00:27:32.633,49561,49579
395,00:27:32.633,00:27:33.667,49579,49610
396,00:27:33.667,00:27:52.967,49610,50189
397,00:27:52.967,00:27:58.133,50189,50344
398,00:27:58.133,00:28:03.033,50344,50491
399,00:28:03.033,00:28:05.867,50491,50576
400,00:28:05.867,00:28:07.800,50576,50634
401,00:28:07.800,00:28:10.767,50634,50723
402,00:28:10.767,00:28:19.667,50723,50990
403,00:28:19.667,00:28:20.167,50990,51005
404,00:28:20.167,00:28:21.633,51005,51049
405,00:28:21.633,00:28:25.533,51049,51166
406,00:28:25.533,00:28:50.567,51166,51917
407,00:28:50.567,00:28:51.100,51917,51933
408,00:28:51.100,00:28:51.600,51933,51948
409,00:28:51.600,00:28:52.200,51948,51966
410,00:28:52.200,00:28:54.633,51966,52039
411,00:28:54.633,00:28:55.133,52039,52054
412,00:28:55.133,00:28:55.633,52054,52069
413,00:28:55.633,00:28:56.167,52069,52085
414,00:28:56.167,00:28:56.667,52085,52100
415,00:28:56.667,00:28:59.300,52100,52179
416,00:28:59.300,00:29:02.667,52179,52280
417,00:29:02.667,00:29:05.100,52280,52353
418,00:29:05.100,00:29:06.500,52353,52395
419,00:29:06.500,00:29:11.667,52395,52550
420,00:29:11.667,00:29:13.000,52550,52590
421,00:29:13.000,00:29:13.500,52590,52605
422,00:29:13.500,00:29:14.000,52605,52620
423,00:29:14.000,00:29:14.533,52620,52636
424,00:29:14.533,00:29:15.033,52636,52651
425,00:29:15.033,00:29:15.633,52651,52669
426,00:29:15.633,00:29:16.467,52669,52694
427,00:29:16.467,00:29:17.333,52694,52720
428,00:29:17.333,00:29:17.833,52720,52735
429,00:29:17.833,00:29:18.433,52735,52753
430,00:29:18.433,00:29:19.300,52753,52779
431,00:29:19.300,00:29:19.933,52779,52798
432,00:29:19.933,00:29:20.433,52798,52813
433,00:29:20.433,00:29:20.967,52813,52829
434,00:29:20.967,00:29:21.467,52829,52844
435,00:29:21.467,00:29:22.000,52844,52860
436,00:29:22.000,00:29:22.500,52860,52875
437,00:29:22.500,00:29:23.000,52875,52890
438,00:29:23.000,00:29:23.733,52890,52912
439,00:29:23.733,00:29:24.267,52912,52928
440,00:29:24.267,00:29:51.100,52928,53733
441,00:29:51.100,00:30:06.733,53733,54202
442,00:30:06.733,00:30:07.500,54202,54225
443,00:30:07.500,00:30:08.033,54225,54241
444,00:30:08.033,00:30:09.400,54241,54282
445,00:30:09.400,00:30:09.900,54282,54297
446,00:30:09.900,00:30:10.400,54297,54312
447,00:30:10.400,00:30:10.900,54312,54327
448,00:30:10.900,00:30:11.567,54327,54347
449,00:30:11.567,00:30:12.400,54347,54372
450,00:30:12.400,00:30:13.167,54372,54395
451,00:30:13.167,00:30:14.733,54395,54442
452,00:30:14.733,00:30:15.433,54442,54463
453,00:30:15.433,00:30:15.933,54463,54478
454,00:30:15.933,00:30:16.433,54478,54493
455,00:30:16.433,00:30:16.933,54493,54508
456,00:30:16.933,00:30:17.600,54508,54528
457,00:30:17.600,00:30:18.200,54528,54546
458,00:30:18.200,00:30:18.767,54546,54563
459,00:30:18.767,00:30:19.267,54563,54578
460,00:30:19.267,00:30:19.767,54578,54593
461,00:30:19.767,00:30:20.467,54593,54614
462,00:30:20.467,00:30:21.000,54614,54630
463,00:30:21.000,00:30:21.500,54630,54645
464,00:30:21.500,00:30:22.000,54645,54660
465,00:30:22.000,00:30:22.500,54660,54675
466,00:30:22.500,00:30:23.100,54675,54693
467,00:30:23.100,00:30:23.600,54693,54708
468,00:30:23.600,00:30:24.200,54708,54726
469,00:30:24.200,00:30:24.700,54726,54741
470,00:30:24.700,00:30:25.600,54741,54768
471,00:30:25.600,00:30:29.933,54768,54898
472,00:30:29.933,00:30:31.200,54898,54936
473,00:30:31.200,00:30:37.333,54936,55120
474,00:30:37.333,00:30:44.933,55120,55348
475,00:30:44.933,00:30:47.400,55348,55422
476,00:30:47.400,00:30:47.900,55422,55437
477,00:30:47.900,00:30:48.533,55437,55456
478,00:30:48.533,00:30:49.033,55456,55471
479,00:30:49.033,00:30:49.667,55471,55490
480,00:30:49.667,00:30:50.433,55490,55513
481,00:30:50.433,00:30:51.033,55513,55531
482,00:30:51.033,00:30:51.600,55531,55548
483,00:30:51.600,00:30:52.533,55548,55576
484,00:30:52.533,00:30:53.267,55576,55598
485,00:30:53.267,00:30:56.000,55598,55680
486,00:30:56.000,00:30:59.400,55680,55782
487,00:30:59.400,00:31:01.200,55782,55836
488,00:31:01.200,00:31:04.000,55836,55920
489,00:31:04.000,00:31:09.200,55920,56076
490,00:31:09.200,00:31:10.467,56076,56114
491,00:31:10.467,00:31:11.067,56114,56132
492,00:31:11.067,00:31:11.833,56132,56155
493,00:31:11.833,00:31:17.200,56155,56316
494,00:31:17.200,00:31:17.700,56316,56331
495,00:31:17.700,00:31:20.133,56331,56404
496,00:31:20.133,00:31:23.933,56404,56518
497,00:31:23.933,00:31:28.967,56518,56669
498,00:31:28.967,00:31:32.900,56669,56787
499,00:31:32.900,00:31:34.933,56787,56848
500,00:31:34.933,00:31:37.867,56848,56936
501,00:31:37.867,00:31:40.867,56936,57026
502,00:31:40.867,00:31:41.900,57026,57057
503,00:31:41.900,00:31:56.267,57057,57488
504,00:31:56.267,00:32:14.600,57488,58038
505,00:32:14.600,00:32:15.100,58038,58053
506,00:32:15.100,00:32:15.600,58053,58068
507,00:32:15.600,00:32:16.100,58068,58083
508,00:32:16.100,00:32:16.733,58083,58102
509,00:32:16.733,00:32:17.333,58102,58120
510,00:32:17.333,00:32:17.833,58120,58135
511,00:32:17.833,00:32:18.400,58135,58152
512,00:32:18.400,00:32:21.333,58152,58240
513,00:32:21.333,00:32:24.300,58240,58329
514,00:32:24.300,00:32:25.067,58329,58352
515,00:32:25.067,00:32:29.767,58352,58493
516,00:32:29.767,00:32:30.400,58493,58512
517,00:32:30.400,00:32:31.033,58512,58531
518,00:32:31.033,00:32:31.667,58531,58550
519,00:32:31.667,00:32:32.400,58550,58572
520,00:32:32.400,00:32:37.800,58572,58734
521,00:32:37.800,00:32:38.433,58734,58753
522,00:32:38.433,00:32:39.033,58753,58771
523,00:32:39.033,00:32:39.667,58771,58790
524,00:32:39.667,00:32:44.967,58790,58949
525,00:32:44.967,00:32:45.733,58949,58972
526,00:32:45.733,00:32:48.067,58972,59042
527,00:32:48.067,00:32:59.267,59042,59378
528,00:32:59.267,00:33:00.167,59378,59405
529,00:33:00.167,00:33:00.700,59405,59421
530,00:33:00.700,00:33:01.300,59421,59439
531,00:33:01.300,00:33:01.800,59439,59454
532,00:33:01.800,00:33:02.500,59454,59475
533,00:33:02.500,00:33:03.500,59475,59505
534,00:33:03.500,00:33:04.067,59505,59522
535,00:33:04.067,00:33:04.633,59522,59539
536,00:33:04.633,00:33:05.133,59539,59554
537,00:33:05.133,00:33:05.633,59554,59569
538,00:33:05.633,00:33:06.600,59569,59598
539,00:33:06.600,00:33:07.533,59598,59626
540,00:33:07.533,00:33:08.033,59626,59641
541,00:33:08.033,00:33:08.800,59641,59664
542,00:33:08.800,00:33:10.300,59664,59709
543,00:33:10.300,00:33:10.833,59709,59725
544,00:33:10.833,00:33:13.033,59725,59791
545,00:33:13.033,00:33:13.933,59791,59818
546,00:33:13.933,00:33:44.567,59818,60737
